Index,Variant,Major.Area,sex,Notes,Country.code,year,age.group,value,order
1672,Estimates,Georgia,male,11,268,1975,75 - 79,24,16
1673,Estimates,Georgia,male,11,268,1980,75 - 79,31,16
1674,Estimates,Georgia,male,11,268,1985,75 - 79,32,16
1675,Estimates,Georgia,male,11,268,1990,75 - 79,35,16
1676,Estimates,Georgia,male,11,268,1995,75 - 79,21,16
1677,Estimates,Georgia,male,11,268,2000,75 - 79,34,16
1678,Estimates,Georgia,male,11,268,2005,75 - 79,55,16
1679,Estimates,Georgia,male,11,268,2010,75 - 79,48,16
1680,Estimates,Georgia,male,11,268,2015,75 - 79,54,16
1667,Estimates,Georgia,female,11,268,1950,80 - 84,NA,17
1668,Estimates,Georgia,female,11,268,1955,80 - 84,NA,17
1669,Estimates,Georgia,female,11,268,1960,80 - 84,NA,17
1670,Estimates,Georgia,female,11,268,1965,80 - 84,NA,17
1671,Estimates,Georgia,female,11,268,1970,80 - 84,NA,17
1672,Estimates,Georgia,female,11,268,1975,80 - 84,NA,17
1673,Estimates,Georgia,female,11,268,1980,80 - 84,NA,17
1674,Estimates,Georgia,female,11,268,1985,80 - 84,NA,17
1675,Estimates,Georgia,female,11,268,1990,80 - 84,39,17
1676,Estimates,Georgia,female,11,268,1995,80 - 84,44,17
1677,Estimates,Georgia,female,11,268,2000,80 - 84,33,17
1678,Estimates,Georgia,female,11,268,2005,80 - 84,45,17
1679,Estimates,Georgia,female,11,268,2010,80 - 84,65,17
1680,Estimates,Georgia,female,11,268,2015,80 - 84,47,17
1667,Estimates,Georgia,male,11,268,1950,80 - 84,NA,17
1668,Estimates,Georgia,male,11,268,1955,80 - 84,NA,17
1669,Estimates,Georgia,male,11,268,1960,80 - 84,NA,17
1670,Estimates,Georgia,male,11,268,1965,80 - 84,NA,17
1671,Estimates,Georgia,male,11,268,1970,80 - 84,NA,17
1672,Estimates,Georgia,male,11,268,1975,80 - 84,NA,17
1673,Estimates,Georgia,male,11,268,1980,80 - 84,NA,17
1674,Estimates,Georgia,male,11,268,1985,80 - 84,NA,17
1675,Estimates,Georgia,male,11,268,1990,80 - 84,18,17
1676,Estimates,Georgia,male,11,268,1995,80 - 84,18,17
1677,Estimates,Georgia,male,11,268,2000,80 - 84,11,17
1678,Estimates,Georgia,male,11,268,2005,80 - 84,18,17
1679,Estimates,Georgia,male,11,268,2010,80 - 84,34,17
1680,Estimates,Georgia,male,11,268,2015,80 - 84,28,17
1667,Estimates,Georgia,female,11,268,1950,85 - 89,NA,18
1668,Estimates,Georgia,female,11,268,1955,85 - 89,NA,18
1669,Estimates,Georgia,female,11,268,1960,85 - 89,NA,18
1670,Estimates,Georgia,female,11,268,1965,85 - 89,NA,18
1671,Estimates,Georgia,female,11,268,1970,85 - 89,NA,18
1672,Estimates,Georgia,female,11,268,1975,85 - 89,NA,18
1673,Estimates,Georgia,female,11,268,1980,85 - 89,NA,18
1674,Estimates,Georgia,female,11,268,1985,85 - 89,NA,18
1675,Estimates,Georgia,female,11,268,1990,85 - 89,22,18
1676,Estimates,Georgia,female,11,268,1995,85 - 89,18,18
1677,Estimates,Georgia,female,11,268,2000,85 - 89,22,18
1678,Estimates,Georgia,female,11,268,2005,85 - 89,17,18
1679,Estimates,Georgia,female,11,268,2010,85 - 89,25,18
1680,Estimates,Georgia,female,11,268,2015,85 - 89,38,18
1667,Estimates,Georgia,male,11,268,1950,85 - 89,NA,18
1668,Estimates,Georgia,male,11,268,1955,85 - 89,NA,18
1669,Estimates,Georgia,male,11,268,1960,85 - 89,NA,18
1670,Estimates,Georgia,male,11,268,1965,85 - 89,NA,18
1671,Estimates,Georgia,male,11,268,1970,85 - 89,NA,18
1672,Estimates,Georgia,male,11,268,1975,85 - 89,NA,18
1673,Estimates,Georgia,male,11,268,1980,85 - 89,NA,18
1674,Estimates,Georgia,male,11,268,1985,85 - 89,NA,18
1675,Estimates,Georgia,male,11,268,1990,85 - 89,8,18
1676,Estimates,Georgia,male,11,268,1995,85 - 89,7,18
1677,Estimates,Georgia,male,11,268,2000,85 - 89,7,18
1678,Estimates,Georgia,male,11,268,2005,85 - 89,5,18
1679,Estimates,Georgia,male,11,268,2010,85 - 89,8,18
1680,Estimates,Georgia,male,11,268,2015,85 - 89,17,18
1667,Estimates,Georgia,female,11,268,1950,90 - 94,NA,19
1668,Estimates,Georgia,female,11,268,1955,90 - 94,NA,19
1669,Estimates,Georgia,female,11,268,1960,90 - 94,NA,19
1670,Estimates,Georgia,female,11,268,1965,90 - 94,NA,19
1671,Estimates,Georgia,female,11,268,1970,90 - 94,NA,19
1672,Estimates,Georgia,female,11,268,1975,90 - 94,NA,19
1673,Estimates,Georgia,female,11,268,1980,90 - 94,NA,19
1674,Estimates,Georgia,female,11,268,1985,90 - 94,NA,19
1675,Estimates,Georgia,female,11,268,1990,90 - 94,5,19
1676,Estimates,Georgia,female,11,268,1995,90 - 94,8,19
1677,Estimates,Georgia,female,11,268,2000,90 - 94,7,19
1678,Estimates,Georgia,female,11,268,2005,90 - 94,9,19
1679,Estimates,Georgia,female,11,268,2010,90 - 94,7,19
1680,Estimates,Georgia,female,11,268,2015,90 - 94,10,19
1667,Estimates,Georgia,male,11,268,1950,90 - 94,NA,19
1668,Estimates,Georgia,male,11,268,1955,90 - 94,NA,19
1669,Estimates,Georgia,male,11,268,1960,90 - 94,NA,19
1670,Estimates,Georgia,male,11,268,1965,90 - 94,NA,19
1671,Estimates,Georgia,male,11,268,1970,90 - 94,NA,19
1672,Estimates,Georgia,male,11,268,1975,90 - 94,NA,19
1673,Estimates,Georgia,male,11,268,1980,90 - 94,NA,19
1674,Estimates,Georgia,male,11,268,1985,90 - 94,NA,19
1675,Estimates,Georgia,male,11,268,1990,90 - 94,2,19
1676,Estimates,Georgia,male,11,268,1995,90 - 94,2,19
1677,Estimates,Georgia,male,11,268,2000,90 - 94,2,19
1678,Estimates,Georgia,male,11,268,2005,90 - 94,2,19
1679,Estimates,Georgia,male,11,268,2010,90 - 94,1,19
1680,Estimates,Georgia,male,11,268,2015,90 - 94,3,19
1667,Estimates,Georgia,female,11,268,1950,95 - 99,NA,20
1668,Estimates,Georgia,female,11,268,1955,95 - 99,NA,20
1669,Estimates,Georgia,female,11,268,1960,95 - 99,NA,20
1670,Estimates,Georgia,female,11,268,1965,95 - 99,NA,20
1671,Estimates,Georgia,female,11,268,1970,95 - 99,NA,20
1672,Estimates,Georgia,female,11,268,1975,95 - 99,NA,20
1673,Estimates,Georgia,female,11,268,1980,95 - 99,NA,20
1674,Estimates,Georgia,female,11,268,1985,95 - 99,NA,20
1675,Estimates,Georgia,female,11,268,1990,95 - 99,1,20
1676,Estimates,Georgia,female,11,268,1995,95 - 99,1,20
1677,Estimates,Georgia,female,11,268,2000,95 - 99,2,20
1678,Estimates,Georgia,female,11,268,2005,95 - 99,2,20
1679,Estimates,Georgia,female,11,268,2010,95 - 99,2,20
1680,Estimates,Georgia,female,11,268,2015,95 - 99,2,20
1667,Estimates,Georgia,male,11,268,1950,95 - 99,NA,20
1668,Estimates,Georgia,male,11,268,1955,95 - 99,NA,20
1669,Estimates,Georgia,male,11,268,1960,95 - 99,NA,20
1670,Estimates,Georgia,male,11,268,1965,95 - 99,NA,20
1671,Estimates,Georgia,male,11,268,1970,95 - 99,NA,20
1672,Estimates,Georgia,male,11,268,1975,95 - 99,NA,20
1673,Estimates,Georgia,male,11,268,1980,95 - 99,NA,20
1674,Estimates,Georgia,male,11,268,1985,95 - 99,NA,20
1675,Estimates,Georgia,male,11,268,1990,95 - 99,0,20
1676,Estimates,Georgia,male,11,268,1995,95 - 99,0,20
1677,Estimates,Georgia,male,11,268,2000,95 - 99,0,20
1678,Estimates,Georgia,male,11,268,2005,95 - 99,0,20
1679,Estimates,Georgia,male,11,268,2010,95 - 99,0,20
1680,Estimates,Georgia,male,11,268,2015,95 - 99,0,20
1667,Estimates,Georgia,female,11,268,1950,100+,NA,21
1668,Estimates,Georgia,female,11,268,1955,100+,NA,21
1669,Estimates,Georgia,female,11,268,1960,100+,NA,21
1670,Estimates,Georgia,female,11,268,1965,100+,NA,21
1671,Estimates,Georgia,female,11,268,1970,100+,NA,21
1672,Estimates,Georgia,female,11,268,1975,100+,NA,21
1673,Estimates,Georgia,female,11,268,1980,100+,NA,21
1674,Estimates,Georgia,female,11,268,1985,100+,NA,21
1675,Estimates,Georgia,female,11,268,1990,100+,0,21
1676,Estimates,Georgia,female,11,268,1995,100+,0,21
1677,Estimates,Georgia,female,11,268,2000,100+,0,21
1678,Estimates,Georgia,female,11,268,2005,100+,0,21
1679,Estimates,Georgia,female,11,268,2010,100+,0,21
1680,Estimates,Georgia,female,11,268,2015,100+,0,21
1667,Estimates,Georgia,male,11,268,1950,100+,NA,21
1668,Estimates,Georgia,male,11,268,1955,100+,NA,21
1669,Estimates,Georgia,male,11,268,1960,100+,NA,21
1670,Estimates,Georgia,male,11,268,1965,100+,NA,21
1671,Estimates,Georgia,male,11,268,1970,100+,NA,21
1672,Estimates,Georgia,male,11,268,1975,100+,NA,21
1673,Estimates,Georgia,male,11,268,1980,100+,NA,21
1674,Estimates,Georgia,male,11,268,1985,100+,NA,21
1675,Estimates,Georgia,male,11,268,1990,100+,0,21
1676,Estimates,Georgia,male,11,268,1995,100+,0,21
1677,Estimates,Georgia,male,11,268,2000,100+,0,21
1678,Estimates,Georgia,male,11,268,2005,100+,0,21
1679,Estimates,Georgia,male,11,268,2010,100+,0,21
1680,Estimates,Georgia,male,11,268,2015,100+,0,21
